Source,Target
PoloChau,lorrietweet
PoloChau,patrickgage
PoloChau,mattbrehmer
PoloChau,tamaramunzner
PoloChau,kanitw
PoloChau,OpenVisConf
PoloChau,arvindsatya1
PoloChau,serravis
PoloChau,zcliu
PoloChau,johntstasko
lorrietweet,mhintze
lorrietweet,RonCytron
lorrietweet,MerrittBaer
lorrietweet,HRCintheWild
lorrietweet,CormacHerley
lorrietweet,EdFelten44
lorrietweet,mynkgoel
lorrietweet,blairmagnetalum
lorrietweet,SwiftOnSecurity
lorrietweet,joshsunshine
patrickgage,SenGillibrand
patrickgage,laurenepowell
patrickgage,DaveMcGlinchey
patrickgage,evacide
patrickgage,zlsadesign
patrickgage,forrestfire
patrickgage,sharonmcorrea
patrickgage,MarkBuswell
patrickgage,claudia_ruge
patrickgage,josh_greco
mattbrehmer,smallmultiples
mattbrehmer,_eugenialee
mattbrehmer,nargesmahyar
mattbrehmer,CoolDatasets
mattbrehmer,The_O_C_R
mattbrehmer,aagie
mattbrehmer,mercecrosas
mattbrehmer,hint_fm
mattbrehmer,usefulcharts
mattbrehmer,JeffClark
tamaramunzner,BarackObama
tamaramunzner,j_la28
tamaramunzner,arvindsatya1
tamaramunzner,micahstubbs
tamaramunzner,noahi
tamaramunzner,tillnm
tamaramunzner,chrisalbon
tamaramunzner,driven_by_data
tamaramunzner,pbesh
tamaramunzner,UBCDSI
kanitw,ccgramazio
kanitw,clemens_anzmann
kanitw,mjskay
kanitw,johntstasko
kanitw,alvinkcheung
kanitw,zirtech
kanitw,nathriche
kanitw,ZeningQu
kanitw,Birdbassador
kanitw,nils_gehlenborg
OpenVisConf,pbesh
OpenVisConf,rachelbinx
OpenVisConf,zanstrong
OpenVisConf,CallbackWomen
OpenVisConf,JenLNeville
OpenVisConf,mbostock
OpenVisConf,p5xjs
OpenVisConf,tinysubversions
OpenVisConf,iwebst
OpenVisConf,jeffrey_heer
arvindsatya1,RogueNASA
arvindsatya1,ScienceMarchDC
arvindsatya1,AltNatParkSer
arvindsatya1,MichelleObama
arvindsatya1,ObamaFoundation
arvindsatya1,minrk
arvindsatya1,_inundata
arvindsatya1,BarackObama
arvindsatya1,PodSaveAmerica
arvindsatya1,staeiou
serravis,mertsfo
serravis,mbostock
serravis,karger
serravis,monthly_review
serravis,ChrisPolis
serravis,jnd1er
serravis,paulkrugman
serravis,seankandel
serravis,nico_lambert
serravis,ZeynepHG
zcliu,PoloChau
zcliu,accuratstudio
zcliu,giorgialupi
zcliu,yifanwu
zcliu,hildaworkshop
zcliu,karthik_badam
zcliu,Bahador10
zcliu,cesifoti
zcliu,benjbach
zcliu,duto_guerra
johntstasko,LindaRegber
johntstasko,EdwardTufte
johntstasko,jdfaviz
johntstasko,jburnmurdoch
johntstasko,jeffrey_heer
johntstasko,benbendc
johntstasko,ChrisNF
johntstasko,guzdial
johntstasko,thinky
johntstasko,agodwinappears
